Task: Distortion
Train samples: 436, Val samples: 96
Epoch   1/70 | train_loss=0.7952 val_loss=0.6879 | val_f1=0.4524 val_agg=0.5165
Epoch   2/70 | train_loss=0.6902 val_loss=0.6743 | val_f1=0.3468 val_agg=0.4320
Epoch   3/70 | train_loss=0.6620 val_loss=0.8289 | val_f1=0.2834 val_agg=0.3829
Epoch   4/70 | train_loss=0.5906 val_loss=0.7966 | val_f1=0.4685 val_agg=0.5297
Epoch   5/70 | train_loss=0.6058 val_loss=0.6691 | val_f1=0.4625 val_agg=0.5234
Epoch   6/70 | train_loss=0.5766 val_loss=0.6242 | val_f1=0.4766 val_agg=0.5335
Epoch   7/70 | train_loss=0.6024 val_loss=1.0937 | val_f1=0.5387 val_agg=0.6300
Epoch   8/70 | train_loss=0.5987 val_loss=0.6607 | val_f1=0.4847 val_agg=0.5653
Epoch   9/70 | train_loss=0.5833 val_loss=0.7835 | val_f1=0.5000 val_agg=0.5689
Epoch  10/70 | train_loss=0.5430 val_loss=0.7499 | val_f1=0.5068 val_agg=0.5513
Epoch  11/70 | train_loss=0.5116 val_loss=0.8250 | val_f1=0.4985 val_agg=0.5534
Epoch  12/70 | train_loss=0.5349 val_loss=0.8244 | val_f1=0.4898 val_agg=0.5718
Epoch  13/70 | train_loss=0.5060 val_loss=0.7593 | val_f1=0.4502 val_agg=0.5043
Epoch  14/70 | train_loss=0.4883 val_loss=0.6421 | val_f1=0.5825 val_agg=0.6182
Epoch  15/70 | train_loss=0.5315 val_loss=0.7628 | val_f1=0.5299 val_agg=0.5690
Epoch  16/70 | train_loss=0.4172 val_loss=0.8810 | val_f1=0.5197 val_agg=0.5933
Epoch  17/70 | train_loss=0.4977 val_loss=0.5899 | val_f1=0.5387 val_agg=0.5844
Epoch  18/70 | train_loss=0.4070 val_loss=0.6936 | val_f1=0.4376 val_agg=0.5240
Epoch  19/70 | train_loss=0.3908 val_loss=0.8118 | val_f1=0.4650 val_agg=0.5127
Epoch  20/70 | train_loss=0.4380 val_loss=0.6418 | val_f1=0.4917 val_agg=0.5523
Epoch  21/70 | train_loss=0.3587 val_loss=0.6875 | val_f1=0.5555 val_agg=0.5901
Epoch  22/70 | train_loss=0.3197 val_loss=0.9874 | val_f1=0.5302 val_agg=0.5756
Epoch  23/70 | train_loss=0.3781 val_loss=0.7313 | val_f1=0.5440 val_agg=0.5817
Epoch  24/70 | train_loss=0.3373 val_loss=0.9070 | val_f1=0.4887 val_agg=0.5557

Training completed. Best F1: 0.5825
