Task: Motion
Train samples: 436, Val samples: 96
Epoch   1/70 | train_loss=0.8238 val_loss=0.9137 | val_f1=0.4566 val_agg=0.4828
Epoch   2/70 | train_loss=0.7474 val_loss=1.1381 | val_f1=0.3025 val_agg=0.4042
Epoch   3/70 | train_loss=0.7638 val_loss=0.8036 | val_f1=0.3733 val_agg=0.4383
Epoch   4/70 | train_loss=0.7031 val_loss=0.9127 | val_f1=0.3843 val_agg=0.4642
Epoch   5/70 | train_loss=0.6529 val_loss=1.7566 | val_f1=0.2616 val_agg=0.3502
Epoch   6/70 | train_loss=0.6482 val_loss=0.7677 | val_f1=0.4498 val_agg=0.5058
Epoch   7/70 | train_loss=0.6545 val_loss=1.1816 | val_f1=0.3497 val_agg=0.4202
Epoch   8/70 | train_loss=0.6345 val_loss=1.0501 | val_f1=0.4766 val_agg=0.5362
Epoch   9/70 | train_loss=0.5958 val_loss=0.8749 | val_f1=0.5279 val_agg=0.5477
Epoch  10/70 | train_loss=0.5624 val_loss=0.7624 | val_f1=0.4035 val_agg=0.4818
Epoch  11/70 | train_loss=0.6098 val_loss=0.7569 | val_f1=0.4801 val_agg=0.5368
Epoch  12/70 | train_loss=0.5150 val_loss=0.7690 | val_f1=0.6126 val_agg=0.6466
Epoch  13/70 | train_loss=0.4926 val_loss=0.8058 | val_f1=0.5770 val_agg=0.6082
Epoch  14/70 | train_loss=0.4388 val_loss=0.9706 | val_f1=0.5691 val_agg=0.6025
Epoch  15/70 | train_loss=0.4900 val_loss=1.0260 | val_f1=0.4113 val_agg=0.5005
Epoch  16/70 | train_loss=0.4268 val_loss=0.7081 | val_f1=0.5798 val_agg=0.6265
Epoch  17/70 | train_loss=0.4239 val_loss=0.7332 | val_f1=0.6423 val_agg=0.6791
Epoch  18/70 | train_loss=0.4451 val_loss=0.8455 | val_f1=0.5501 val_agg=0.5850
Epoch  19/70 | train_loss=0.4503 val_loss=0.7217 | val_f1=0.6314 val_agg=0.6483
Epoch  20/70 | train_loss=0.3548 val_loss=1.1362 | val_f1=0.5101 val_agg=0.5609
Epoch  21/70 | train_loss=0.3368 val_loss=1.1295 | val_f1=0.5005 val_agg=0.5441
Epoch  22/70 | train_loss=0.2933 val_loss=0.9074 | val_f1=0.6234 val_agg=0.6473
Epoch  23/70 | train_loss=0.3389 val_loss=0.9592 | val_f1=0.5897 val_agg=0.6066
Epoch  24/70 | train_loss=0.2793 val_loss=0.9014 | val_f1=0.5766 val_agg=0.5963
Epoch  25/70 | train_loss=0.3501 val_loss=1.2782 | val_f1=0.4236 val_agg=0.4847
Epoch  26/70 | train_loss=0.2839 val_loss=1.0146 | val_f1=0.6081 val_agg=0.6284
Epoch  27/70 | train_loss=0.2079 val_loss=1.2598 | val_f1=0.5108 val_agg=0.5222

Training completed. Best F1: 0.6423
