type,subject,shape,zooms
LF_axi,LISA_0001,"(120, 146, 36)","(1.5, 1.5, 5.0)"
LF_axi,LISA_0002,"(120, 146, 40)","(1.5, 1.5, 5.0)"
LF_axi,LISA_0003,"(120, 146, 36)","(1.5, 1.5, 5.0)"
LF_axi,LISA_0004,"(120, 146, 40)","(1.5, 1.5, 5.0)"
LF_axi,LISA_0005,"(120, 146, 40)","(1.5, 1.5, 5.0)"
LF_cor,LISA_0001,"(120, 40, 120)","(1.5, 5.0, 1.5)"
LF_cor,LISA_0002,"(120, 40, 134)","(1.5, 5.0, 1.5)"
LF_cor,LISA_0003,"(120, 40, 120)","(1.5, 5.0, 1.5)"
LF_cor,LISA_0004,"(120, 40, 134)","(1.5, 5.0, 1.5)"
LF_cor,LISA_0005,"(120, 40, 134)","(1.5, 5.0, 1.5)"
LF_sag,LISA_0001,"(36, 146, 120)","(5.0, 1.5, 1.5)"
LF_sag,LISA_0002,"(36, 146, 146)","(5.0, 1.600000023841858, 1.5)"
LF_sag,LISA_0003,"(36, 146, 120)","(5.0, 1.5, 1.5)"
LF_sag,LISA_0004,"(36, 146, 146)","(5.0, 1.600000023841858, 1.5)"
LF_sag,LISA_0005,"(36, 146, 146)","(5.0, 1.600000023841858, 1.5)"
ciso,LISA_0001,"(197, 233, 189)","(1.0, 1.0, 1.0)"
ciso,LISA_0002,"(195, 233, 159)","(1.0, 1.0, 1.0)"
ciso,LISA_0004,"(195, 233, 159)","(1.0, 1.0, 1.0)"
ciso,LISA_0005,"(195, 233, 159)","(1.0, 1.0, 1.0)"
ciso,LISA_0006,"(195, 233, 159)","(1.0, 1.0, 1.0)"
