filename,Noise,Zipper,Positioning,Banding,Motion,Contrast,Distortion
LISA_0001_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0001_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0001_LF_sag.nii.gz,0,0,0,0,0,0,1
LISA_0002_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0002_LF_cor.nii.gz,0,0,0,0,0,0,2
LISA_0002_LF_sag.nii.gz,1,0,0,0,0,0,0
LISA_0003_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0003_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_0003_LF_sag.nii.gz,1,2,0,0,0,0,1
LISA_0004_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0004_LF_cor.nii.gz,0,0,0,0,1,1,2
LISA_0004_LF_sag.nii.gz,1,1,0,0,0,0,1
LISA_0005_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0005_LF_cor.nii.gz,0,0,0,0,0,0,1
LISA_0005_LF_sag.nii.gz,0,1,1,0,0,0,1
LISA_0006_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0006_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0006_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0007_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0007_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_0007_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_0008_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0008_LF_cor.nii.gz,0,0,0,0,0,0,1
LISA_0008_LF_sag.nii.gz,1,1,0,0,1,0,0
LISA_0009_LF_axi.nii.gz,0,0,1,0,0,0,0
LISA_0009_LF_cor.nii.gz,0,0,1,0,0,0,2
LISA_0009_LF_sag.nii.gz,1,0,1,0,1,0,0
LISA_0010_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0010_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0010_LF_sag.nii.gz,1,0,1,0,0,0,0
LISA_0011_LF_axi.nii.gz,0,0,0,0,2,2,0
LISA_0011_LF_cor.nii.gz,0,0,2,0,1,0,1
LISA_0011_LF_sag.nii.gz,0,1,0,0,2,2,1
LISA_0012_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_0012_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0012_LF_sag.nii.gz,0,2,0,0,0,1,0
LISA_0013_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0013_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0013_LF_sag.nii.gz,1,1,0,0,0,0,0
LISA_0014_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_0014_LF_cor.nii.gz,0,0,0,0,1,0,1
LISA_0014_LF_sag.nii.gz,1,1,0,0,1,0,0
LISA_0015_LF_axi.nii.gz,1,0,0,1,0,1,0
LISA_0015_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0015_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0016_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0016_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0016_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0017_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0017_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_0017_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0018_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0018_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0018_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_0019_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0019_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0019_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0020_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_0020_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0020_LF_sag.nii.gz,0,2,0,0,1,0,0
LISA_0021_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0021_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_0021_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0022_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_0022_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_0022_LF_sag.nii.gz,0,1,0,0,0,1,2
LISA_0023_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0023_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0023_LF_sag.nii.gz,0,0,0,0,1,0,0
LISA_0024_LF_axi.nii.gz,0,0,0,0,0,1,1
LISA_0024_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_0024_LF_sag.nii.gz,0,2,0,2,0,1,1
LISA_0025_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0025_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_0025_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0026_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0026_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0026_LF_sag.nii.gz,0,0,0,0,1,0,1
LISA_0027_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0027_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0027_LF_sag.nii.gz,1,1,0,0,0,0,0
LISA_0028_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_0028_LF_cor.nii.gz,1,1,0,0,0,0,0
LISA_0028_LF_sag.nii.gz,0,1,0,0,1,1,0
LISA_0029_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0029_LF_cor.nii.gz,0,0,0,0,0,0,1
LISA_0029_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0030_LF_axi.nii.gz,0,0,1,0,0,0,0
LISA_0030_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_0030_LF_sag.nii.gz,0,0,0,0,1,0,0
LISA_0031_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0031_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0031_LF_sag.nii.gz,1,0,0,0,0,0,0
LISA_0032_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_0032_LF_cor.nii.gz,0,0,0,0,0,1,0
LISA_0032_LF_sag.nii.gz,0,1,0,1,1,1,0
LISA_0033_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0033_LF_cor.nii.gz,0,0,0,0,2,0,0
LISA_0033_LF_sag.nii.gz,0,2,0,0,0,0,0
LISA_0034_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0034_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0034_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0035_LF_axi.nii.gz,0,0,0,0,2,0,0
LISA_0035_LF_cor.nii.gz,0,0,2,0,1,0,0
LISA_0035_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_0036_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0036_LF_cor.nii.gz,0,0,0,0,0,1,1
LISA_0036_LF_sag.nii.gz,0,1,0,0,0,1,0
LISA_0037_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0037_LF_cor.nii.gz,0,0,2,0,0,0,0
LISA_0037_LF_sag.nii.gz,0,2,1,0,0,1,2
LISA_0038_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0038_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0038_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_0039_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0039_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0039_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_0040_LF_axi.nii.gz,0,0,0,0,0,0,0
